8.640000000000000568e+00,8.640000000000000568e+00,8.640000000000000568e+00,8.640000000000000568e+00,8.640000000000000568e+00,8.640000000000000568e+00,8.640000000000000568e+00,8.640000000000000568e+00,8.640000000000000568e+00,8.640000000000000568e+00,inf,8.640000000000000568e+00,8.640000000000000568e+00,8.640000000000000568e+00,8.640000000000000568e+00,8.640000000000000568e+00,8.640000000000000568e+00,8.640000000000000568e+00,8.640000000000000568e+00,8.640000000000000568e+00,8.640000000000000568e+00,8.640000000000000568e+00,8.640000000000000568e+00,8.640000000000000568e+00,8.640000000000000568e+00,8.640000000000000568e+00,8.640000000000000568e+00,8.640000000000000568e+00,8.640000000000000568e+00,8.640000000000000568e+00,8.640000000000000568e+00,8.640000000000000568e+00
9.900000000000000355e+00,9.900000000000000355e+00,9.900000000000000355e+00,9.900000000000000355e+00,9.900000000000000355e+00,9.900000000000000355e+00,9.900000000000000355e+00,9.900000000000000355e+00,9.900000000000000355e+00,9.900000000000000355e+00,9.900000000000000355e+00,inf,9.900000000000000355e+00,9.900000000000000355e+00,9.900000000000000355e+00,9.900000000000000355e+00,9.900000000000000355e+00,9.900000000000000355e+00,9.900000000000000355e+00,9.900000000000000355e+00,9.900000000000000355e+00,9.900000000000000355e+00,9.900000000000000355e+00,9.900000000000000355e+00,9.900000000000000355e+00,9.900000000000000355e+00,9.900000000000000355e+00,9.900000000000000355e+00,9.900000000000000355e+00,9.900000000000000355e+00,9.900000000000000355e+00,9.900000000000000355e+00
7.800000000000000000e+01,7.800000000000000000e+01,7.800000000000000000e+01,7.800000000000000000e+01,7.800000000000000000e+01,7.800000000000000000e+01,7.800000000000000000e+01,7.800000000000000000e+01,7.800000000000000000e+01,7.800000000000000000e+01,7.800000000000000000e+01,7.800000000000000000e+01,inf,7.800000000000000000e+01,7.800000000000000000e+01,7.800000000000000000e+01,7.800000000000000000e+01,7.800000000000000000e+01,7.800000000000000000e+01,7.800000000000000000e+01,7.800000000000000000e+01,7.800000000000000000e+01,7.800000000000000000e+01,7.800000000000000000e+01,7.800000000000000000e+01,7.800000000000000000e+01,7.800000000000000000e+01,7.800000000000000000e+01,7.800000000000000000e+01,7.800000000000000000e+01,7.800000000000000000e+01,7.800000000000000000e+01
2.880000000000000426e+01,2.880000000000000426e+01,2.880000000000000426e+01,2.880000000000000426e+01,2.880000000000000426e+01,2.880000000000000426e+01,2.880000000000000426e+01,2.880000000000000426e+01,2.880000000000000426e+01,2.880000000000000426e+01,2.880000000000000426e+01,2.880000000000000426e+01,2.880000000000000426e+01,inf,2.880000000000000426e+01,2.880000000000000426e+01,2.880000000000000426e+01,2.880000000000000426e+01,2.880000000000000426e+01,2.880000000000000426e+01,2.880000000000000426e+01,2.880000000000000426e+01,2.880000000000000426e+01,2.880000000000000426e+01,2.880000000000000426e+01,2.880000000000000426e+01,2.880000000000000426e+01,2.880000000000000426e+01,2.880000000000000426e+01,2.880000000000000426e+01,2.880000000000000426e+01,2.880000000000000426e+01
1.584000000000000163e+01,1.584000000000000163e+01,1.584000000000000163e+01,1.584000000000000163e+01,1.584000000000000163e+01,1.584000000000000163e+01,1.584000000000000163e+01,1.584000000000000163e+01,1.584000000000000163e+01,1.584000000000000163e+01,1.584000000000000163e+01,1.584000000000000163e+01,1.584000000000000163e+01,1.584000000000000163e+01,inf,1.584000000000000163e+01,1.584000000000000163e+01,1.584000000000000163e+01,1.584000000000000163e+01,1.584000000000000163e+01,1.584000000000000163e+01,1.584000000000000163e+01,1.584000000000000163e+01,1.584000000000000163e+01,1.584000000000000163e+01,1.584000000000000163e+01,1.584000000000000163e+01,1.584000000000000163e+01,1.584000000000000163e+01,1.584000000000000163e+01,1.584000000000000163e+01,1.584000000000000163e+01
3.023999999999999844e+01,3.023999999999999844e+01,3.023999999999999844e+01,3.023999999999999844e+01,3.023999999999999844e+01,3.023999999999999844e+01,3.023999999999999844e+01,3.023999999999999844e+01,3.023999999999999844e+01,3.023999999999999844e+01,3.023999999999999844e+01,3.023999999999999844e+01,3.023999999999999844e+01,3.023999999999999844e+01,3.023999999999999844e+01,inf,3.023999999999999844e+01,3.023999999999999844e+01,3.023999999999999844e+01,3.023999999999999844e+01,3.023999999999999844e+01,3.023999999999999844e+01,3.023999999999999844e+01,3.023999999999999844e+01,3.023999999999999844e+01,3.023999999999999844e+01,3.023999999999999844e+01,3.023999999999999844e+01,3.023999999999999844e+01,3.023999999999999844e+01,3.023999999999999844e+01,3.023999999999999844e+01
3.432000000000000028e+01,3.432000000000000028e+01,3.432000000000000028e+01,3.432000000000000028e+01,3.432000000000000028e+01,3.432000000000000028e+01,3.432000000000000028e+01,3.432000000000000028e+01,3.432000000000000028e+01,3.432000000000000028e+01,3.432000000000000028e+01,3.432000000000000028e+01,3.432000000000000028e+01,3.432000000000000028e+01,3.432000000000000028e+01,3.432000000000000028e+01,inf,3.432000000000000028e+01,3.432000000000000028e+01,3.432000000000000028e+01,3.432000000000000028e+01,3.432000000000000028e+01,3.432000000000000028e+01,3.432000000000000028e+01,3.432000000000000028e+01,3.432000000000000028e+01,3.432000000000000028e+01,3.432000000000000028e+01,3.432000000000000028e+01,3.432000000000000028e+01,3.432000000000000028e+01,3.432000000000000028e+01
3.549000000000000199e+01,3.549000000000000199e+01,3.549000000000000199e+01,3.549000000000000199e+01,3.549000000000000199e+01,3.549000000000000199e+01,3.549000000000000199e+01,3.549000000000000199e+01,3.549000000000000199e+01,3.549000000000000199e+01,3.549000000000000199e+01,3.549000000000000199e+01,3.549000000000000199e+01,3.549000000000000199e+01,3.549000000000000199e+01,3.549000000000000199e+01,3.549000000000000199e+01,inf,3.549000000000000199e+01,3.549000000000000199e+01,3.549000000000000199e+01,3.549000000000000199e+01,3.549000000000000199e+01,3.549000000000000199e+01,3.549000000000000199e+01,3.549000000000000199e+01,3.549000000000000199e+01,3.549000000000000199e+01,3.549000000000000199e+01,3.549000000000000199e+01,3.549000000000000199e+01,3.549000000000000199e+01
4.224000000000000199e+01,4.224000000000000199e+01,4.224000000000000199e+01,4.224000000000000199e+01,4.224000000000000199e+01,4.224000000000000199e+01,4.224000000000000199e+01,4.224000000000000199e+01,4.224000000000000199e+01,4.224000000000000199e+01,4.224000000000000199e+01,4.224000000000000199e+01,4.224000000000000199e+01,4.224000000000000199e+01,4.224000000000000199e+01,4.224000000000000199e+01,4.224000000000000199e+01,4.224000000000000199e+01,inf,4.224000000000000199e+01,4.224000000000000199e+01,4.224000000000000199e+01,4.224000000000000199e+01,4.224000000000000199e+01,4.224000000000000199e+01,4.224000000000000199e+01,4.224000000000000199e+01,4.224000000000000199e+01,4.224000000000000199e+01,4.224000000000000199e+01,4.224000000000000199e+01,4.224000000000000199e+01
2.640000000000000213e+01,2.640000000000000213e+01,2.640000000000000213e+01,2.640000000000000213e+01,2.640000000000000213e+01,2.640000000000000213e+01,2.640000000000000213e+01,2.640000000000000213e+01,2.640000000000000213e+01,2.640000000000000213e+01,2.640000000000000213e+01,2.640000000000000213e+01,2.640000000000000213e+01,2.640000000000000213e+01,2.640000000000000213e+01,2.640000000000000213e+01,2.640000000000000213e+01,2.640000000000000213e+01,2.640000000000000213e+01,inf,2.640000000000000213e+01,2.640000000000000213e+01,2.640000000000000213e+01,2.640000000000000213e+01,2.640000000000000213e+01,2.640000000000000213e+01,2.640000000000000213e+01,2.640000000000000213e+01,2.640000000000000213e+01,2.640000000000000213e+01,2.640000000000000213e+01,2.640000000000000213e+01
1.485000000000000142e+01,1.485000000000000142e+01,1.485000000000000142e+01,1.485000000000000142e+01,1.485000000000000142e+01,1.485000000000000142e+01,1.485000000000000142e+01,1.485000000000000142e+01,1.485000000000000142e+01,1.485000000000000142e+01,1.485000000000000142e+01,1.485000000000000142e+01,1.485000000000000142e+01,1.485000000000000142e+01,1.485000000000000142e+01,1.485000000000000142e+01,1.485000000000000142e+01,1.485000000000000142e+01,1.485000000000000142e+01,1.485000000000000142e+01,inf,1.485000000000000142e+01,1.485000000000000142e+01,1.485000000000000142e+01,1.485000000000000142e+01,1.485000000000000142e+01,1.485000000000000142e+01,1.485000000000000142e+01,1.485000000000000142e+01,1.485000000000000142e+01,1.485000000000000142e+01,1.485000000000000142e+01
1.056000000000000085e+02,1.056000000000000085e+02,1.056000000000000085e+02,1.056000000000000085e+02,1.056000000000000085e+02,1.056000000000000085e+02,1.056000000000000085e+02,1.056000000000000085e+02,1.056000000000000085e+02,1.056000000000000085e+02,1.056000000000000085e+02,1.056000000000000085e+02,1.056000000000000085e+02,1.056000000000000085e+02,1.056000000000000085e+02,1.056000000000000085e+02,1.056000000000000085e+02,1.056000000000000085e+02,1.056000000000000085e+02,1.056000000000000085e+02,1.056000000000000085e+02,inf,1.056000000000000085e+02,1.056000000000000085e+02,1.056000000000000085e+02,1.056000000000000085e+02,1.056000000000000085e+02,1.056000000000000085e+02,1.056000000000000085e+02,1.056000000000000085e+02,1.056000000000000085e+02,1.056000000000000085e+02
