inf,8.818709135282450262e+00,9.212858622227464878e+00,3.676458238019094882e+00,8.904125703607554954e+00,8.908363162533703417e+00,1.075558497400524516e+01,9.663286550110695927e+00,1.363452463705512230e+01,9.654652717609824464e+00,9.772823997673494745e+00,1.000356307804819522e+01,1.024501382826062468e+01,1.108786254153626594e+01,1.185312645377785401e+01,1.154161811472972410e+01,1.204412735200092932e+01,1.355313683404546765e+01,1.235932783606084762e+01,1.279163887314187420e+01,1.292148241251067553e+01,1.670913030772282681e+01,2.144958216427033548e+01,1.747766526336902260e+01,1.849715664909582813e+01,1.851156258225812579e+01,1.990550578875331666e+01,1.985744469353863906e+01,2.014803065539411620e+01,2.010293998729683551e+01,2.117731846301354537e+01,2.285559731013694318e+01
1.763741827056489697e+01,inf,2.137292895358558820e+00,1.923202914009018016e+01,1.632948104095089548e+01,1.642626924145596590e+01,3.260149575163023172e+01,1.763660197260719897e+01,1.518730436908371928e+01,1.979461996646900346e+01,2.013735758077978844e+01,2.007804873321260430e+01,2.285075587837881272e+01,2.378428929363294841e+01,2.254076116534659135e+01,2.657502146033834833e+01,2.703998703745337195e+01,3.553235565418270880e+01,2.749582347788788184e+01,2.646499476194282963e+01,2.617330059404756426e+01,3.863606674012954301e+01,3.155190740363249802e+01,3.978534070878306039e+01,4.121553620611352642e+01,4.089952930300260192e+01,4.584033192716812977e+01,4.564501530757511460e+01,4.608747210463453570e+01,4.491877547766672762e+01,4.892468562983201963e+01,3.818355851133924261e+01
7.984477472597135694e+00,9.261602546553755477e-01,inf,8.320345682402086496e+00,6.458905567508511858e+00,6.502481280616023263e+00,1.385123983416930393e+01,6.981867793383206511e+00,5.657234035439118180e+00,7.970526194505577422e+00,8.117124650661505569e+00,8.069262631287093868e+00,9.324584620429618553e+00,9.683213101812881973e+00,9.048580134444115686e+00,1.093794072609568069e+01,1.111162669226348676e+01,1.496247001620806039e+01,1.129732278350716967e+01,1.078553887731904481e+01,1.064099701259955566e+01,1.614631380112830783e+01,1.276204221206908507e+01,1.662325287786059747e+01,1.721314915086328767e+01,1.706438898897189205e+01,1.927211379695043902e+01,1.918404355306341458e+01,1.936858778844010587e+01,1.882323624408235929e+01,2.062145718056323673e+01,1.562332871856385630e+01
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
1.929227235781636551e+01,1.769027112769680343e+01,1.614726391877128009e+01,1.369565083135585581e+01,inf,1.142941032702496362e-01,2.079754205290524638e+01,1.776614970123838066e+00,1.421297969083872381e+01,3.780246392106275888e+00,4.145659206602556601e+00,4.065932593280404461e+00,7.210909448428894919e+00,8.077540925260246141e+00,7.330938876437741669e+00,1.122306263134653292e+01,1.163221260687911318e+01,2.190605703765480783e+01,1.210566076598134089e+01,1.111649486479863391e+01,1.092478613091359207e+01,2.421852101074938801e+01,2.823593760718149070e+01,2.542393930569002691e+01,2.696225749385477144e+01,2.663126089214743075e+01,3.203306754464389883e+01,3.181294414136820237e+01,3.227636787352420100e+01,3.097188150955349428e+01,3.541055823990318174e+01,3.023012348131274507e+01
1.781672632506740328e+01,1.642626924145596590e+01,1.500572603219082168e+01,1.261409842478177978e+01,1.055022491725381151e-01,inf,1.910100275561767802e+01,1.593783345444700794e+00,1.320362428258941279e+01,3.388203790162880313e+00,3.726107870235294328e+00,3.659197856470646659e+00,6.552293353316719582e+00,7.358612530682058228e+00,6.701479178788904534e+00,1.025683187272273145e+01,1.063731207656311817e+01,2.011569981412498365e+01,1.107582108653378050e+01,1.017511748157965101e+01,1.000318426455321763e+01,2.225506527482683339e+01,2.610053836606387279e+01,2.336953595891429813e+01,2.479245009602614758e+01,2.448827569056853193e+01,2.946838304679003784e+01,2.926542615092397881e+01,2.969372672250978340e+01,2.849294231013450585e+01,3.258531597404515168e+01,2.789867176301876839e+01
1.514744883839072109e+01,2.295688659177295676e+01,2.250826473052512000e+01,1.049560330765728366e+01,1.351840233438841032e+01,1.345028944041411734e+01,inf,1.348407859024002420e+01,2.259448156116437190e+01,1.172820921591455701e+01,1.160805904757665985e+01,1.199730528618457370e+01,9.939306345599881354e+00,1.054049528845242456e+01,1.309519342739601022e+01,8.753598797851521951e+00,9.351394340393687443e+00,4.807140720080639085e+00,9.593744781747730599e+00,1.152121457475794308e+01,1.207436526094764240e+01,1.049292742510198373e+01,2.936235696428705921e+01,1.161504470564927516e+01,1.319303362298606253e+01,1.345191080886512225e+01,1.382820584225109073e+01,1.381576128677699344e+01,1.425724248307847830e+01,1.479211533582005345e+01,1.525747752212263642e+01,2.740729503568075032e+01
8.374848343429269093e+00,7.642527521463120976e+00,6.981867793383206511e+00,6.015497712341966619e+00,7.106459880495352710e-01,6.906394496927037441e-01,8.297894517070783849e+00,inf,5.608190449886047979e+00,1.143216229629600678e+00,1.262366712411706393e+00,1.128335682029153242e+00,2.516371104087269384e+00,2.726959180495666324e+00,2.239320844619007822e+00,4.066254138302085153e+00,4.171767349096787036e+00,8.499650260990373241e+00,4.337405530994879577e+00,3.829651579382693072e+00,3.725680171898655413e+00,9.195813476273874798e+00,1.082990188322295388e+01,9.651105783146254780e+00,1.023145392576004475e+01,1.008581094509667153e+01,1.231987824786919816e+01,1.222812754881359076e+01,1.240525891236197431e+01,1.184137565808606851e+01,1.368274208183250806e+01,1.144767526008294922e+01
1.920195553051929593e+01,1.069439349322978750e+01,9.193005307588567376e+00,1.720649609561525750e+01,9.238436799045171455e+00,9.297552098990045977e+00,2.259448156116437190e+01,9.113309481064828077e+00,inf,1.088125091300782543e+01,1.102008599310714132e+01,1.066179661551228186e+01,1.288860200416229596e+01,1.272773415376752126e+01,1.049362133548261866e+01,1.500336761226384219e+01,1.487316859568482386e+01,2.251772431893961723e+01,1.496933495111645129e+01,1.333925889889206218e+01,1.286754086798501540e+01,2.235105399317414054e+01,1.165600535870343535e+01,2.280571414911949901e+01,2.331926574524227647e+01,2.293379016810053983e+01,2.720318400572165274e+01,2.702368896338075288e+01,2.722036502614181330e+01,2.587770213119228302e+01,2.946218580375195373e+01,1.638136480048249055e+01
9.654652717609824464e+00,9.897309983234503505e+00,9.196760993660282324e+00,6.569892611503036939e+00,1.744729104049050683e+00,1.694101895081440379e+00,8.327722520176017440e+00,1.319095649572616269e+00,7.726332009236325682e+00,inf,1.724537080292373736e-01,3.593933649879135772e-01,1.605001913694744875e+00,2.001989395325272536e+00,2.200327200589918153e+00,3.439845039644656932e+00,3.625943374569340349e+00,8.489659177539467194e+00,3.850738494559786229e+00,3.525796483550965199e+00,3.509844938121910563e+00,9.433873426717747535e+00,1.327186641112530197e+01,9.995848938981289677e+00,1.072250368037630253e+01,1.057975271493386060e+01,1.304038041768295209e+01,1.293919675264604230e+01,1.315432978825422872e+01,1.256810984623393779e+01,1.459860569118082552e+01,1.347167358425405759e+01
